匟	kaŋ2
匣	xia3
匪	fei1
匪	fei-
匭	gui1
匯	xui2
匯	xui1
匱	gui2
匱	kui2
匰	dan-
匳	lian+
匴	suan2
匴	suan1
匵	du3
匶	giu2
㔶	guŋ1
㔶	gan1
匸	xi1
匹	pi3
医	i2
医	i1
匼	an2
匽	ian1
匽	ian2
匾	bian1
匿	ŋi3
區	ky-
區	eu-
十	š3
千	can-
午	u1
升	šeŋ-
半	ban2
卉	xui2
卉	xui1
卌	si3
卑	bei-
卒	zu3
卒	cu3
卓	šuo3
協	xie3
南	nan+
卙	č3
卙	ču3
博	bo3
卜	bu3
卞	bian2
卝	guŋ1
卝	xyŋ2
卝	guan2
占	žan-
占	žan2
卟	gi3
卟	bu3
卡	kia1
卡	ka1
卣	iu1
卣	iu+
卦	gua2
卩	ze3
卬	ŋang+
卬	iaŋ+
卮	ui+
卯	šau2
印	in2
危	ui+
卲	šau2
卵	luo1
卵	luan1
却	kio3
卷	gyan1
卷	gyan2
卷	kyan+
卸	se2
卹	sy3
卺	gin1
㕁	kio3
㕁	gio3
卻	kio3
卽	zi3
卼	u3
卿	kiŋ-
厂	xan1
厂	xan2
厄	ə3
厊	ia1
厎	ž1
厏	ža1
厓	iai+
厖	maŋ+
厒	i1
㕈	i1
厔	ž3
厚	xeu2
厙	še2
厘	li+
原	yan+
厝	co3
厝	cu2
厜	zui-
厜	zui2
厞	fei+
厞	fei2
厥	gye3
厥	gy3
厦	ša2
厦	xia2
厭	ian2
厭	ie3
厬	gui1
厲	li2
厱	kian-
厱	lan+
㕒	ui+
厵	yan+
厶	meu1
厶	s-
去	ky2
去	ky1
參	can-
參	šen-
參	čen-
參	san-
參	can2
叄	san-
㕙	cyn+
㕙	cyn2
又	iu2
叉	ča3
叉	čai-
㕚	žau1
及	gi3
友	iu1
反	dan1
反	fan-
叔	šu3
取	cy1
取	cy-
取	ceu1
受	šeu2
叛	pan2
叚	gia1
叚	xia+
叟	seu1
叟	seu-
叠	die3
叡	rui2
叢	cuŋ+
口	keu1
口	kuŋ1
古	gu1
古	gu2
古	ku-
句	gy2
句	geu-
句	geu2
句	ky+
叨	tau-
叨	dau-
叩	keu2
叩	keu1
只	ž1
只	ž-
叫	giau2
召	žau2
召	šau2
叮	diŋ-
可	ko1
可	ko2
台	i+
台	tai-
台	tai+
叱	č3
史	š1
右	iu2
右	iu1
叴	kiu+
叵	po1
司	s-
司	s2
号	xau2
㕣	ian1
叶	xie3
另	liŋ2
叭	ba2
叭	bo3
叻	li3
叼	diau-
吁	xy-
吁	y2
吃	ki3
吃	č3
吃	gi3
各	go3
合	xo3
合	go3
吉	gi3
同	tuŋ+
名	miŋ+
名	miŋ2
后	xeu2
后	xeu1
吏	li2
吐	tu1
吐	tu2
向	xiaŋ2
向	šaŋ2
㕧	xi2
㕧	xi-
㕦	xua2
吊	diau2
吊	diau1
君	gyn-
吝	lin2
吞	tun-
吞	tian-
吟	in+
吟	in2
吟	gin2
否	feu1
否	pi1
含	xan+
听	in+
吭	xaŋ+
吭	xaŋ2
吮	šun1
启	ki1
呈	čeŋ+
呈	žeŋ2
吳	u+
吸	xi3
吹	čui-
吹	čui2
吻	uen1
吼	xeu1
吼	xeu2
吾	u+
吾	y+
吾	ia+
告	gau2
告	gu3
呂	ly1
吠	fei2
吩	pen-
吩	fen-
吪	ŋo+
吪	xua-
吷	xye3
吷	čuo3
吷	gye3
吰	xuŋ+
㕮	fu2
㕮	fu1
吶	na3
吶	no3
吽	ŋeu1
吽	men-
吽	xuŋ-
呀	xia-
呀	ia+
呀	ia-
吡	bi3
吡	pi1
吺	deu-
呁	gyn2
吵	čau1
吵	miau1
呃	ə3
呆	ŋai+
呆	dai-
吱	z-
呢	ŋi+
呦	iu-
周	žeu-
咒	žeu2
呫	če3
呫	tian-
呱	gu-
呱	ua-
味	wei2
味	ui2
呵	xo-
呵	xo2
呶	nau+
呷	xia3
呻	šen-
呼	xu-
命	miŋ2
呾	ta3
呿	kie3
呿	ky-
咄	duo3
咄	du3
